Filename,Eqname,Type,Support points,Iterations,MSE,R^2,,diffusivity,mu,alpha,beta,gamma,lambda_term,S,D,phi
1472_4_laser@30sec003.nd2,SigmoidDiffusivityPDE,vanilla,1090.000000,139.000000,0.130147,0.014619,,9.919721,0.000079,,-2.195640,1529.702385,,,,
1472_4_laser@30sec004.nd2,SigmoidDiffusivityPDE,vanilla,1085.000000,90.000000,0.039242,0.594260,,9.999989,0.000366,,-2.193816,319.651942,,,,
super_1472_5_laser_EC1flow_laserabl010.nd2,SigmoidDiffusivityPDE,vanilla,716.000000,195.000000,0.039026,0.501223,,-9.995379,-0.017678,,-2.164465,1366.109466,,,,
super_1472_5_laser_EC1flow_laserabl017.nd2,SigmoidDiffusivityPDE,vanilla,749.000000,209.000000,0.004164,0.805094,,0.023129,-0.001065,,2.197209,1017.887063,,,,
super_1472_5_laser_EC1flow_laserabl018.nd2,SigmoidDiffusivityPDE,vanilla,707.000000,158.000000,0.002560,0.945873,,2.243240,-0.001432,,2.197190,377.680905,,,,
1133_3_laser@30sec006.nd2,MixedPDE,vanilla,1109.000000,507.000000,0.028906,0.824563,,-7.933006,0.124348,0.866225,-2.196999,1960.796976,0.560360,,1947.914702,0.320841
1133_3_laser@30sec007.nd2,MixedPDE,vanilla,1084.000000,292.000000,0.006723,0.782174,,-5.077866,0.376826,0.471776,-2.197224,1884.141829,0.830800,,264.011378,0.692891
1133_3_laser@30sec008.nd2,MixedPDE,vanilla,1105.000000,241.000000,0.006228,0.897977,,-9.999997,0.281724,1.998247,2.197219,1905.911882,0.595296,,0.097025,0.390566
1472_4_laser@30sec001.nd2,MixedPDE,vanilla,,,,,,,,,,,,,,
1472_4_laser@30sec002.nd2,MixedPDE,vanilla,1094.000000,267.000000,0.065865,0.378556,,9.999984,-0.035181,0.015277,-2.194384,1999.949961,0.150381,,1999.999578,0.891192
1472_4_laser@30sec003.nd2,MixedPDE,vanilla,1090.000000,278.000000,0.120783,0.085516,,9.999809,0.152265,0.747765,-2.197112,1999.624368,0.912592,,337.717769,0.315558
1472_4_laser@30sec004.nd2,MixedPDE,vanilla,1085.000000,280.000000,0.035979,0.627998,,-7.648777,0.078079,0.029352,-2.197066,399.639177,0.781922,,344.507846,0.900000
super_1472_5_laser_EC1flow_laserabl010.nd2,MixedPDE,vanilla,716.000000,522.000000,0.039183,0.499209,,-9.849281,-0.019416,0.008503,-2.155661,1449.587248,0.585668,,0.000322,0.100000
super_1472_5_laser_EC1flow_laserabl017.nd2,MixedPDE,vanilla,749.000000,657.000000,0.001352,0.936715,,-9.975834,-0.052442,1.325671,2.197225,363.608392,0.179397,,0.040371,0.184586
super_1472_5_laser_EC1flow_laserabl018.nd2,MixedPDE,vanilla,,,,,,,,,,,,,,
